Serial,Device_Type,first_seen_date,last_seen_date,total_days_observed,total_records,risk_score_current,risk_score_avg,risk_score_max,risk_score_min,risk_score_std,device_health_status,battery_current,battery_min,battery_max,battery_avg,battery_std,battery_readings_total,battery_readings_valid,battery_readings_negative,battery_readings_over100,battery_readings_nan,battery_data_quality_pct,battery_data_quality,expected_daily_drain,battery_drain_rate_per_day,drain_deviation,days_until_battery_critical,expected_battery_life_days,expected_battery_life_years,battery_low_days_count,battery_low_percentage,battery_warning_days_count,battery_drain_category,battery_data_issue,years_remaining,battery_health_category,risk_category,drain_category,days_since_last_comm,communication_status,not_communicating_7d,has_sensor_issue,projected_life_years,life_reduction_pct,remaining_life_category,less_than_10yr_life,is_slightly_draining,is_moderately_draining,is_fast_draining,is_critical_draining,needs_replacement_1year,needs_replacement_2year,schedule_replacement_3year,life_expectancy_category,estimated_days_remaining,critical_battery_30d,emergency_battery_7d,comm_risk_score,sensor_risk_score,battery_risk_score,drain_risk_score,overall_risk_score,priority_level
RE24190370,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190371,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,55.48,55.48,55.48,55.48,7.226896453227138e-15,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,35479.99999999999,55479.99999999999,151.99999999999997,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),55479.99999999999,False,False,0,0,0,0,0.0,Normal
RE24190374,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,61.25,61.25,61.25,61.25,0.0,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,41250.0,61250.0,167.8082191780822,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),61250.0,False,False,0,0,0,0,0.0,Normal
RE24190376,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,58.1,58.1,58.1,58.09999999999999,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,38100.0,58100.0,159.17808219178082,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),58100.0,False,False,0,0,0,0,0.0,Normal
RE24190378,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,67.47,67.47,67.47,67.47,0.0,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,47470.0,67470.0,184.84931506849315,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),67470.0,False,False,0,0,0,0,0.0,Normal
RE24190380,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,62.98,62.98,62.98,62.98,7.226896453227138e-15,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,42979.99999999999,62979.99999999999,172.54794520547944,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),62979.99999999999,False,False,0,0,0,0,0.0,Normal
RE24190382,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190392,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190400,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,60.99,60.99,60.99,60.99,0.0,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,40990.0,60990.0,167.0958904109589,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),60990.0,False,False,0,0,0,0,0.0,Normal
ZN17220043,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,77.91,77.91,77.91,77.91,0.0,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,57909.99999999999,77910.0,213.4520547945205,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),77910.0,False,False,0,0,0,0,0.0,Normal
ZN17220044,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,82.26,82.26,82.26,82.26000000000005,4.3361378719362836e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,62260.00000000001,82260.0,225.36986301369865,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Excellent (80-100%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),82260.0,False,False,0,0,0,0,0.0,Normal
